,birthDate,birthPlace,assistences,field_goal_percentage,field_goal_percentage_3_pts,free_throw_percentage,games,player_efficiency_rating,points,total_rebounds,win_shares,effective_field_goal_percentage,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,salary
578,"March 10, 1967","Dallas, Texas",0.9,46.9,19.2,66.7,64,11.4,5.0,1.7,0.7,47.9,Colorado State University,35.0,2.0,Dallas Mavericks,1989,6-7,"Wilmer-Hutchins in Dallas, Texas",Pat Durham,Small Forward,Right,210lb,126000.0
579,"November 24, 1966","Baton Rouge, Louisiana",1.7,44.5,33.6,76.7,441,13.8,10.8,2.2,10.8,46.1,University of New Orleans,36.0,2.0,Washington Bullets,1988,6-5,"Broadmoor in Baton Rouge, Louisiana",Ledell Eackles,Shooting Guard,Right,220lb,508000.0
580,"June 23, 1970","Peoria, Illinois",0.3,40.3,0.0,66.7,193,10.6,5.1,2.7,0.3,40.3,University of Iowa,19.0,1.0,Boston Celtics,1993,6-10,"Moline in Moline, Illinois",Acie Earl,Center,Right,240lb,1040000.0
581,"April 17, 1991","Middletown, New York",0.8,34.6,26.3,75.0,56,7.2,4.3,2.2,-0.6,39.8,Wichita State University,34.0,2.0,New York Knicks,2014,6-8,"Mount Zion Christian Academy in Durham, North Carolina",Cleanthony Early,Small Forward,Right,210lb,676197.5
583,"October 28, 1989","Queens, New York",0.4,38.5,22.2,72.2,63,9.6,3.6,1.9,0.5,40.4,West Virginia University,43.0,2.0,Los Angeles Lakers,2010,6-9,"St. Thomas Moore School in Oakdale, Connecticut",Devin Ebanks,Shooting Guard and Small Forward,Right,215lb,763396.0
587,"February 14, 1973","Gardena, California",4.0,40.5,32.2,80.6,226,13.6,7.6,1.7,6.8,42.8,"University of California, Los Angeles",47.0,2.0,Sacramento Kings,1995,5-10,"Long Beach Polytechnic in Long Beach, California",Tyus Edney,Point Guard,Right,152lb,345250.0
588,"October 31, 1965","Washington, District of Columbia",2.0,47.5,33.5,77.9,704,12.8,10.8,3.4,24.2,49.9,East Carolina University,21.0,1.0,Utah Jazz,1989,6-4,"Greene Central in Snow Hill, North Carolina",Blue Edwards,Small Forward and Shooting Guard,Right,200lb,1208500.0
589,"March 5, 1979","Baltimore, Maryland",0.3,32.3,-,58.3,10,8.6,2.7,2.5,0.1,32.3,Central Connecticut State University,58.0,2.0,Sacramento Kings,2002,6-9,"Lake Clifton in Lake Clifton, Maryland",Corsley Edwards,Center,Right,275lb,319498.0
590,"January 21, 1971","Miami, Florida",0.7,37.8,0.0,70.9,85,8.4,2.4,1.8,0.2,37.8,Florida State University,15.0,1.0,Atlanta Hawks,1993,6-7,"Miami in Miami, Florida",Doug Edwards,Power Forward,Right,220lb,972916.7
591,"February 2, 1959","New York, New York",2.6,44.9,3.0,79.5,296,12.6,6.1,1.0,3.9,44.9,Cleveland State University,22.0,1.0,Philadelphia 76ers,1981,6-1,"Julia Richman in New York, New York",Franklin Edwards,Point Guard,Right,170lb,100000.0
592,"November 22, 1955","Seattle, Washington",1.3,49.5,4.8,69.8,1168,14.7,12.7,5.1,59.7,49.5,University of Washington,46.0,3.0,Los Angeles Lakers,1977,7-0,"Roosevelt in Seattle, Washington",James Edwards,Center,Right,225lb,661272.75
594,"October 30, 1965","Cleveland Heights, Ohio",2.7,42.3,33.5,80.3,604,12.7,10.9,2.7,12.5,43.7,DePaul University,20.0,1.0,Miami Heat,1988,6-3,"St. Joseph in Cleveland, Ohio",Kevin Edwards,Point Guard and Shooting Guard,Right,190lb,1267500.0
595,"August 11, 1961","Lubbock, Texas",2.8,45.3,36.9,68.9,873,13.4,8.6,3.6,41.2,50.0,Washington State University,48.0,3.0,Houston Rockets,1983,6-6,"Monterey in Lubbock, Texas",Craig Ehlo,Shooting Guard,Right,180lb,814320.25
596,"December 4, 1972","Detroit, Michigan",3.5,40.7,35.0,82.7,786,11.5,6.5,1.7,19.5,46.3,Boston College,30.0,2.0,Minnesota Timberwolves,1994,6-2,"Southwestern in Detroit, Michigan",Howard Eisley,Shooting Guard and Point Guard,Right,177lb,2659076.2
597,"August 22, 1975","Port Harcourt, Nigeria",0.2,42.3,0.0,72.0,143,11.2,3.6,2.7,1.7,42.3,University of Maryland,37.0,2.0,Vancouver Grizzlies,1999,6-9,"Worcester Academy in Worcester, Massachusetts",Obinna Ekezie,Center and Power Forward,Right,270lb,488726.0
598,"April 25, 1979","Minneapolis, Minnesota",2.9,37.0,33.3,77.8,50,12.2,6.3,1.6,0.6,41.5,University of Connecticut,34.0,2.0,Chicago Bulls,2000,5-10,"North Community in Minneapolis, Minnesota",Khalid El-Amin,Point Guard,Right,200lb,391409.5
600,"January 13, 1997","Rice Lake, Wisconsin",0.6,37.7,35.3,77.4,76,10.8,4.3,2.5,0.3,45.4,Marquette University,18.0,1.0,Detroit Pistons,2016,6-11,"Rice Lake in Rice Lake, Wisconsin",Henry Ellenson,Power Forward,Right,245lb,1742460.0
601,"November 29, 1987","Wynnewood, Pennsylvania",1.1,41.0,37.9,84.6,645,11.2,8.2,2.2,17.8,51.3,University of North Carolina,28.0,1.0,Minnesota Timberwolves,2009,6-5,"The Episcopal Academy in Newtown Square, Pennsylvania",Wayne Ellington,Shooting Guard,Right,200lb,2131328.8
602,"February 2, 1968","Tucson, Arizona",2.6,46.5,37.5,79.9,742,13.9,14.2,4.3,55.7,50.0,University of Arizona,3.0,1.0,San Antonio Spurs,1989,6-8,"Cholla in Tucson, Arizona",Sean Elliott,Small Forward,Right,205lb,3535555.5
603,"August 6, 1960","Marietta, Georgia",1.4,47.9,40.3,78.4,1209,16.0,15.7,3.5,84.7,53.6,University of Tennessee,9.0,1.0,Dallas Mavericks,1983,6-7,"Marietta in Marietta, Georgia",Dale Ellis,Small Forward and Shooting Guard,Right,205lb,1267046.9
605,"May 5, 1970","East St. Louis, Illinois",1.6,45.2,30.2,73.0,624,14.6,11.9,6.5,32.8,47.1,University of Notre Dame,5.0,1.0,Denver Nuggets,1992,6-8,"Lincoln in East St. Louis, Illinois",LaPhonso Ellis,Power Forward and Small Forward,Right,240lb,2539909.0
606,"April 28, 1969","Los Angeles, California",0.3,43.3,-,61.3,91,11.9,3.0,2.4,1.2,43.3,"University of Kentucky, Syracuse University",22.0,1.0,Los Angeles Clippers,1991,6-9,"Mater Dei in Santa Ana, California",LeRon Ellis,Center,Right,225lb,243333.33
608,"April 3, 1967","Savannah, Georgia",1.5,51.0,5.0,68.9,474,15.2,9.5,6.7,21.8,51.0,University of Louisville,1.0,1.0,Sacramento Kings,1989,6-9,"Savannah in Savannah, Georgia",Pervis Ellison,Power Forward and Center,Right,210lb,2012500.0
609,"February 28, 1976","Rotterdam, Netherlands",0.6,47.8,18.8,70.0,472,10.0,3.7,3.5,11.7,47.9,University of California,41.0,2.0,Denver Nuggets,1999,7-0,"Maria Regina M.A.V.O. in Rotterdam, Netherlands",Francisco Elson,Center,Right,235lb,1395386.5
610,"May 2, 1978","Harvey, Illinois",0.7,46.0,0.0,62.5,375,10.6,5.3,3.2,4.0,46.0,"California State University, Fresno",12.0,1.0,Los Angeles Clippers,2002,6-10,"Thornton Township in Harvey, Illinois",Melvin Ely,Power Forward and Center,Right,260lb,1710378.1
611,"March 16, 1994","Yaounde, Cameroon",3.2,48.1,31.5,78.8,158,24.5,24.3,11.4,16.8,51.4,University of Kansas,3.0,1.0,Philadelphia 76ers,2014,7-0,"The Rock School in Gainesville, Florida",Joel Embiid,Center,Right,250lb,4995256.5
612,"August 27, 1982","Dallas, Texas",0.1,46.2,0.0,61.5,14,8.5,1.4,0.6,0.1,46.2,Texas Tech University,35.0,2.0,Seattle SuperSonics,2004,6-5,"David W. Carter in Dallas, Texas",Andre Emmett,Shooting Guard and Small Forward,Right,230lb,362819.34
613,"March 1, 1959","Stillwater, Minnesota",0.2,41.1,-,67.7,195,7.2,1.8,2.0,0.6,41.1,"University of Minnesota, University of Wyoming",60.0,3.0,Golden State Warriors,1982,6-11,"Stillwater in Stillwater, Minnesota",Chris Engler,Center,Right,245lb,125000.0
615,"July 11, 1967","Wilmington, Delaware",2.1,43.5,13.8,77.8,151,11.6,9.9,2.1,1.1,43.8,Virginia Union University,37.0,2.0,Washington Bullets,1990,6-3,"Howard Career Center in Wilmington, Delaware",A.J. English,Shooting Guard,Right,175lb,261200.0
616,"January 5, 1954","Columbia, South Carolina",3.6,50.7,21.7,83.2,1193,19.9,21.5,5.5,100.7,50.7,University of South Carolina,23.0,2.0,Milwaukee Bucks,1976,6-7,"Dreher in Columbia, South Carolina",Alex English,Small Forward,Right,190lb,1266428.6
618,"September 24, 1988","Baltimore, Maryland",0.6,37.5,28.0,72.4,41,7.9,2.9,0.9,0.2,43.8,University of Missouri,44.0,2.0,Detroit Pistons,2012,6-6,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Kim English,Shooting Guard,Right,200lb,473604.0
619,"July 1, 1990","Ventura, California",0.9,45.7,35.7,79.3,278,11.5,6.5,3.2,11.7,53.6,"California State University, Long Beach",50.0,2.0,Atlanta Hawks,2013,6-7,"Ventura in Ventura, California",James Ennis,Small Forward,Right,210lb,1470673.8
620,"August 24, 1994","Brampton, Canada",1.9,41.9,31.7,76.8,186,10.3,4.2,1.3,1.3,46.3,Syracuse University,18.0,1.0,Phoenix Suns,2014,6-3,"Saint Benedict's Preparatory School in Newark, New Jersey",Tyler Ennis,Point Guard,Right,194lb,1627816.2
622,"February 22, 1950","Roosevelt, New York",4.2,50.6,29.8,77.7,1243,23.6,24.2,8.5,181.1,50.9,University of Massachusetts Amherst,12.0,1.0,Milwaukee Bucks,1972,6-7,"Roosevelt in Roosevelt, New York",Julius Erving,Small Forward,Right,210lb,1269500.0
623,"May 30, 1975","New Knoxville, Ohio",0.5,46.3,-,62.1,153,10.6,2.8,3.9,4.0,46.3,Northwestern University,34.0,2.0,New Jersey Nets,1999,6-11,"New Knoxville in New Knoxville, Ohio",Evan Eschmeyer,Center,Right,255lb,2429070.8
625,"September 13, 1973","Rockford, Illinois",0.8,38.1,34.3,82.0,102,11.8,3.7,1.6,1.7,43.0,Indiana University,27.0,1.0,Orlando Magic,1996,6-8,"South in Terre Haute, Indiana",Brian Evans,Small Forward,Left,220lb,615108.3
626,"July 26, 1996","Greenville, South Carolina",2.0,34.5,26.3,77.6,56,6.7,4.2,1.7,-0.4,37.3,Oklahoma State University,39.0,2.0,Philadelphia 76ers,2017,6-0,"Justin F. Kimball in Dallas, Texas",Jawun Evans,Point Guard,Right,185lb,815615.0
627,"October 24, 1987","Crossett, Arkansas",0.4,56.9,23.1,68.7,250,17.3,3.5,2.6,8.2,57.3,Western Kentucky University,55.0,2.0,Utah Jazz,2010,6-9,"Crossett in Crossett, Arkansas",Jeremy Evans,Power Forward and Small Forward,Right,200lb,1118352.0
629,"April 19, 1955","Goldsboro, North Carolina",2.6,45.2,30.7,80.7,591,12.0,7.7,1.4,9.3,48.0,Kansas State University,21.0,1.0,Denver Nuggets,1978,6-1,"Laurinburg Institute in Laurinburg, North Carolina",Mike Evans,Point Guard and Shooting Guard,Right,170lb,106250.0
631,"September 19, 1989","Chester, Pennsylvania",4.8,44.0,32.3,75.7,594,17.1,15.7,4.6,28.4,47.1,University of Memphis,4.0,1.0,Sacramento Kings,2009,6-6,"American Christian School in Aston, Pennsylvania",Tyreke Evans,Small Forward and Shooting Guard and Point Guard,Right,220lb,7015139.0
632,"March 26, 1983","Milton, Florida",1.4,38.9,29.5,78.0,127,8.3,3.4,1.2,0.8,43.3,Duke University,32.0,2.0,Los Angeles Clippers,2005,6-3,"Willowridge in Houston, Texas",Daniel Ewing,Shooting Guard and Point Guard,Right,185lb,557104.5
633,"August 5, 1962","Kingston, Jamaica",1.9,50.4,15.2,74.0,1183,21.0,21.0,9.8,126.4,50.5,Georgetown University,1.0,1.0,New York Knicks,1985,7-0,"Cambridge Rindge & Latin in Cambridge, Massachusetts",Patrick Ewing,Power Forward and Center,Right,240lb,6955173.5
636,"October 21, 1989","BenCity, Nigeria",0.4,51.3,-,55.7,170,13.4,4.2,4.3,5.9,51.3,Vanderbilt University,30.0,1.0,Golden State Warriors,2012,6-11,"Jesuit in Sacramento, California",Festus Ezeli,Center,Right,255lb,2157140.2
637,"November 19, 1989","Newark, New Jersey",1.0,54.6,22.2,65.4,478,19.7,11.4,8.1,38.8,54.8,Morehead State University,22.0,1.0,Denver Nuggets,2011,6-8,"Technology in Newark, New Jersey",Kenneth Faried,Center and Power Forward,Right,220lb,6065269.0
638,"November 30, 1986","Los Angeles, California",2.9,42.3,37.4,73.9,504,13.3,7.7,1.9,13.9,50.7,"University of California, Los Angeles",26.0,1.0,Los Angeles Lakers,2006,6-2,"Taft in Woodland Hills, California",Jordan Farmar,Point Guard,Right,180lb,1438933.8
640,"September 23, 1964","Dothan, Alabama",0.8,42.8,28.2,73.0,136,10.9,5.3,1.4,0.7,44.5,University of Alabama,20.0,1.0,Dallas Mavericks,1987,6-4,"Houston Academy in Dothan, Alabama",Jim Farmer,Shooting Guard,Right,190lb,175000.0
643,"July 15, 1991","Atlanta, Georgia",1.1,52.5,21.0,66.4,632,18.9,11.6,7.2,49.5,52.8,Georgia Institute of Technology,3.0,1.0,New Jersey Nets,2010,6-10,"South Atlanta in Atlanta, Georgia",Derrick Favors,Center and Power Forward,Right,265lb,8394353.0
644,"June 17, 1985","Denver, Colorado",0.4,56.1,0.0,68.2,26,19.6,4.1,3.4,0.8,56.1,"University of Nevada, Reno",34.0,2.0,Dallas Mavericks,2007,6-11,"Ralston Valley in Arvada, Colorado",Nick Fazekas,Power Forward,Right,235lb,427163.0
645,"July 3, 1974","Lexington, Ohio",0.7,42.4,40.0,62.9,201,12.4,4.5,7.1,8.2,43.2,Michigan State University,48.0,2.0,Philadelphia 76ers,1996,6-9,"Lexington in Lexington, Ohio",Jamie Feick,Power Forward and Center,Right,255lb,1649541.6
646,"June 8, 1962","Butler, Pennsylvania",0.5,43.3,0.0,75.1,275,9.8,4.3,3.0,1.4,43.3,University of Texas at El Paso,43.0,2.0,Houston Rockets,1986,6-11,"Santa Rita in Tucson, Arizona",Dave Feitl,Center,Right,235lb,167175.0
648,"August 17, 1990","Las Vegas, Arizona",0.6,50.0,40.0,75.0,7,13.3,2.7,0.9,0.0,57.1,Arizona State University,33.0,2.0,Cleveland Cavaliers,2013,6-6,"Millenium in Goodyear, Arizona",Carrick Felix,Shooting Guard,Right,201lb,478692.0
649,"June 26, 1984","Marion, South Carolina",5.2,41.2,32.9,79.0,971,13.8,11.2,3.0,40.2,45.9,University of North Carolina,5.0,1.0,Charlotte Bobcats,2005,6-1,"Latta in Latta, South Carolina",Raymond Felton,Point Guard and Shooting Guard,Right,205lb,3982855.8
652,"May 24, 1964","Curitiba, Brazil",0.1,5.6,-,87.5,12,-7.6,0.8,1.1,-0.2,5.6,University of Houston,26.0,2.0,Portland Trail Blazers,1988,7-1,"Colegro Objectivo in Sao Paolo, Brazil",Rolando Ferreira,Center,Right,240lb,100000.0
655,"October 17, 1966","Hyattsville, Maryland",1.3,44.6,39.3,84.0,917,11.8,7.0,2.8,34.8,50.6,Duke University,2.0,1.0,Los Angeles Clippers,1989,6-10,"Dematha Catholic in Hyattsville, Maryland",Danny Ferry,Small Forward and Power Forward,Right,230lb,3403307.8
657,"February 9, 1962","Iowa City, Iowa",1.0,47.4,18.8,73.3,184,11.7,6.2,2.5,4.2,47.5,"University of California, Los Angeles",21.0,1.0,Milwaukee Bucks,1984,6-5,"Verbum Dei in Los Angeles, California",Kenny Fields,Small Forward,Right,220lb,145000.0
658,"June 27, 1988","Long Beach, California",1.6,47.3,33.2,66.6,255,12.1,6.8,4.3,10.5,51.5,Stanford University,39.0,2.0,New York Knicks,2010,6-7,"Los Alamitos in Los Alamitos, California",Landry Fields,Shooting Guard and Small Forward,Right,210lb,3997159.8
659,"March 6, 1973","Melrose Park, Illinois",2.9,44.4,37.5,81.1,1103,16.0,15.7,4.4,85.2,49.2,University of Wisconsin,21.0,1.0,Phoenix Suns,1995,6-7,"Proviso East in Maywood, Illinois",Michael Finley,Small Forward and Shooting Guard,Right,215lb,7698713.5
661,"November 18, 1969","Washington, Iowa",0.5,50.0,0.0,62.5,50,11.9,3.5,2.2,0.6,50.0,University of North Carolina at Wilmington,50.0,2.0,Golden State Warriors,1992,6-11,"Washington in Washington, Iowa",Matt Fish,Center,Left,235lb,182500.0
662,"August 9, 1974","Little Rock, Arkansas",3.0,39.9,37.4,81.7,1287,11.7,8.3,2.1,62.3,46.6,University of Arkansas at Little Rock,24.0,1.0,Los Angeles Lakers,1996,6-1,"Parkview in Little Rock, Arkansas",Derek Fisher,Point Guard and Shooting Guard,Left,200lb,3161902.8
664,"August 10, 1978","Detroit, Michigan",1.2,43.5,19.1,69.1,289,13.4,9.6,4.6,2.7,43.9,Iowa State University,4.0,1.0,Chicago Bulls,2000,6-9,"Arcadia in Arcadia, Louisiana",Marcus Fizer,Small Forward and Power Forward,Right,262lb,2545062.8
665,"February 4, 1962","New York, New York",4.8,49.8,18.1,76.4,893,15.1,11.3,3.4,52.0,50.1,University of Georgia,18.0,1.0,Indiana Pacers,1984,6-5,"Mater Christi in Astoria, New York",Vern Fleming,Point Guard,Right,185lb,798200.0
666,"April 11, 1981","San Pedro de Macoris, Dominican Republic",0.7,48.3,50.0,100.0,16,10.1,2.2,0.2,0.0,56.9,"Rutgers University, Manhattan College",55.0,2.0,Houston Rockets,2004,6-2,"Norman Thomas in New York, New York",Luis Flores,Point Guard,Right,200lb,385277.0
667,"March 6, 1960","Gastonia, North Carolina",5.4,44.4,32.4,81.5,957,15.5,12.8,2.6,50.6,47.0,Georgetown University,13.0,1.0,New Jersey Nets,1982,6-3,"Hunter Huss in Gastonia, North Carolina",Sleepy Floyd,Shooting Guard and Point Guard,Right,170lb,835000.0
668,"February 6, 1989","Niagara Falls, New York",3.9,40.0,33.8,80.9,163,11.3,9.2,1.9,-1.1,44.2,Syracuse University,6.0,1.0,Minnesota Timberwolves,2009,6-0,"Niagara Falls in Niagara Falls, New York",Jonny Flynn,Point Guard,Right,185lb,3192000.0
672,"May 29, 1981","Houston, Texas",0.2,50.7,-,69.7,73,9.4,2.5,1.7,0.8,50.7,University of Houston,51.0,2.0,Phoenix Suns,2001,6-9,"Milby in Houston, Texas",Alton Ford,Power Forward,Right,275lb,477111.34
674,"August 26, 1972","Baton Rouge, Louisiana",0.2,37.5,16.0,76.5,28,16.4,3.2,0.9,0.4,40.0,University of Illinois at Chicago,26.0,1.0,Seattle SuperSonics,1995,6-7,"Proviso East in Maywood, Illinois",Sherell Ford,Small Forward,Right,210lb,556933.3
675,"March 24, 1983","Houston, Texas",5.8,43.3,28.9,81.5,429,15.1,11.2,3.1,16.9,44.8,University of Texas at Austin,8.0,1.0,Milwaukee Bucks,2003,6-0,"Willowridge in Houston, Texas",T.J. Ford,Point Guard,Right,165lb,4837147.0
676,"March 23, 1981","Atlanta, Georgia",0.7,23.4,0.0,80.0,25,3.2,1.2,0.7,-0.4,23.4,University of North Carolina,21.0,1.0,Boston Celtics,2001,6-4,"Dematha Catholic in Hyattsville, Maryland",Joseph Forte,Shooting Guard,Right,194lb,1009880.0
678,"March 27, 1976","Philadelphia, Pennsylvania",0.7,47.2,16.7,78.5,440,16.2,8.2,7.2,22.3,47.2,University of Cincinnati,10.0,1.0,Milwaukee Bucks,1997,6-7,"Shaler Area in Pittsburgh, Pennsylvania",Danny Fortson,Center and Power Forward,Right,260lb,4214524.0
679,"October 3, 1968","Oakland, California",0.5,44.0,22.5,74.8,656,8.9,3.9,2.6,5.6,44.4,"University of California, Los Angeles, University of Texas at El Paso",35.0,2.0,Washington Bullets,1990,6-11,"Skyline in Oakland, California",Greg Foster,Center and Power Forward,Right,240lb,634925.6
680,"January 16, 1977","San Antonio, Texas",0.9,49.7,13.0,61.5,764,14.2,4.9,6.9,47.5,49.8,Texas State University,21.0,1.0,Golden State Warriors,1999,6-11,"James Madison in San Antonio, Texas",Jeff Foster,Center,Right,236lb,3851544.2
681,"October 10, 1960","Birmingham, Alabama",2.3,44.0,29.8,76.8,207,10.9,7.5,1.2,2.2,46.5,"University of California, Los Angeles",28.0,2.0,Phoenix Suns,1983,6-1,"Saint Thomas Aquinas in New Britain, Connecticut",Rod Foster,Point Guard,Right,160lb,131000.0
684,"April 11, 1976","Los Angeles, California",0.5,40.9,20.0,79.1,103,10.1,2.9,2.2,2.1,41.6,"University of California, California State University, Fresno",54.0,2.0,Denver Nuggets,1998,6-8,"Crenshaw in Los Angeles, California",Tremaine Fowlkes,Small Forward,Right,220lb,410047.66
685,"December 20, 1997","New Orleans, Louisiana",5.9,43.9,34.5,72.5,154,15.1,14.6,3.3,5.0,47.4,University of Kentucky,5.0,1.0,Sacramento Kings,2017,6-3,"Cypress Lakes in Katy, Texas",De'Aaron Fox,Point Guard,Left,175lb,4609200.0
686,"July 24, 1969","Toronto, Canada",2.8,45.0,34.9,77.0,930,13.6,9.6,3.8,44.7,50.1,University of North Carolina,24.0,1.0,Boston Celtics,1991,6-7,"Warsaw Community in Warsaw, Indiana",Rick Fox,Small Forward,Right,230lb,2430662.8
687,"September 24, 1983","Newark, New Jersey",2.8,40.1,36.6,85.2,752,12.0,10.3,2.2,23.5,48.2,Villanova University,7.0,1.0,Boston Celtics,2006,6-4,"East Side in Newark, New Jersey",Randy Foye,Point Guard and Shooting Guard,Right,213lb,3125127.2
688,"March 9, 1975","Canouan, Saint Vincent and the Grenadines",0.5,47.7,0.0,49.9,733,12.3,4.1,4.7,18.7,47.7,Colgate University,8.0,1.0,Golden State Warriors,1997,6-10,"Hamilton Central in Hamilton, New York",Adonal Foyle,Center,Right,250lb,4224122.5
690,"February 21, 1977","Silver Spring, Maryland",6.0,42.9,34.1,79.7,576,18.3,18.1,5.6,54.1,46.3,University of Maryland,2.0,1.0,Vancouver Grizzlies,1999,6-3,"Montgomery Blair in Silver Spring, Maryland",Steve Francis,Shooting Guard and Point Guard,Right,195lb,8625094.0
691,"April 26, 1965","Gary, Indiana",1.0,43.9,0.0,74.1,264,10.3,6.5,3.9,4.0,43.9,Western Kentucky University,14.0,1.0,Golden State Warriors,1987,6-10,"Lew Wallace in Gary, Indiana",Tellis Frank,Power Forward,Right,225lb,285333.34
692,"July 21, 1991","Moreno Valley, California",0.4,41.5,46.2,100.0,24,4.7,1.8,1.0,0.0,48.8,San Diego State University,41.0,2.0,Memphis Grizzlies,2013,6-5,"Westwind Prep in Phoenix, Arizona",Jamaal Franklin,Shooting Guard,Right,191lb,134619.6
695,"February 25, 1989","Glens Falls, New York",1.4,40.9,37.2,87.9,241,12.5,6.0,1.0,2.2,48.4,Brigham Young University,10.0,1.0,Milwaukee Bucks,2011,6-2,"Glens Falls in Glens Falls, New York",Jimmer Fredette,Shooting Guard and Point Guard,Right,195lb,1236408.1
696,"December 9, 1953","Atlanta, Georgia",3.7,45.6,33.7,75.3,886,18.8,20.3,2.7,67.7,46.3,Guilford College,23.0,2.0,Philadelphia 76ers,1975,6-2,"Canarsie in Brooklyn, New York",World B. Free,Point Guard and Shooting Guard,Right,185lb,516666.66
698,"October 2, 1981","Overland Park, Kansas",0.6,29.3,22.4,71.4,42,4.6,3.2,2.0,-0.6,34.0,Vanderbilt University,53.0,2.0,Miami Heat,2004,6-10,"Shawnee Mission West in Overland Park, Kansas",Matt Freije,Power Forward,Right,240lb,175513.33
699,"May 17, 1983","White Plains, New York",1.0,44.0,38.8,82.2,890,13.3,8.7,4.5,38.9,51.9,University of Arizona,8.0,1.0,New York Knicks,2005,7-0,"Saint Mary's in Phoenix, Arizona",Channing Frye,Center and Power Forward,Right,255lb,5119217.5
700,"July 25, 1974","Fayetteville, North Carolina",0.2,42.2,0.0,66.8,225,10.3,3.7,3.0,2.2,42.2,North Carolina State University,11.0,1.0,Golden State Warriors,1996,6-11,"Charlotte Christian in Charlotte, North Carolina",Todd Fuller,Center,Left,255lb,995048.0
701,"May 29, 1998","Upper Marlboro, Maryland",3.4,41.4,26.7,53.4,33,11.2,7.7,3.4,0.5,42.1,University of Washington,1.0,1.0,Philadelphia 76ers,2017,6-4,"DeMatha Catholic in Hyattsville, Maryland",Markelle Fultz,Shooting Guard,Right,200lb,7026240.0
